dataset,platform,tool,parameter,best_value,metric_name
D1,visium,STAGATE,knn,5,ari
D1,visium,DeepST,knn,10,ari
D1,visium,DeepST,pcs,200,ari
D1,visium,STG3Net,knn,30,ari
D1,visium,STG3Net,pcs,20,ari
D1,visium,spatiAlign,knn,10,ari
D1,visium,SEDR,knn,30,ari
D1,visium,SEDR,pcs,20,ari
D1,visium,CellCharter,knn,15,ari
D1,visium,BANKSY,knn,20,ari
D1,visium,SpaDo,knn,15,ari
D1,visium,STAMP,knn,30,ari
D1,visium,spCLUE,knn,10,ari
D1,visium,spCLUE,pcs,100,ari
D1,visium,stClinic,knn,5,ari
D1,visium,stClinic,pcs,200,ari
D1,visium,stMSA,knn,5,ari
D1,visium,NicheCompass_batch,knn,30,ari
D1,visium,STAligner,knn,5,ari
D1,visium,SPIRAL,knn,5,ari
D1,visium,SPACEL,knn,5,moran_I
D1,visium,SANTO,knn,5,moran_I
D1,visium,scSLAT,knn,30,clc
D1,visium,scSLAT,pcs,10,clc
D1,visium,Spateo_NR,knn,10,moran_I
D1,visium,Spateo_NR,pcs,200,moran_I
D1,visium,STalign,knn,30,moran_I
D2,starmap,STAGATE,knn,5,ari
D2,starmap,DeepST,knn,5,ari
D2,starmap,DeepST,pcs,150,ari
D2,starmap,STG3Net,knn,20,ari
D2,starmap,STG3Net,pcs,10,ari
D2,starmap,spatiAlign,knn,5,ari
D2,starmap,SEDR,knn,15,ari
D2,starmap,SEDR,pcs,100,ari
D2,starmap,CellCharter,knn,10,ari
D2,starmap,BANKSY,knn,30,ari
D2,starmap,SpaDo,knn,5,ari
D2,starmap,STAMP,knn,15,ari
D2,starmap,spCLUE,knn,30,ari
D2,starmap,spCLUE,pcs,200,ari
D2,starmap,stClinic,knn,15,ari
D2,starmap,stClinic,pcs,100,ari
D2,starmap,stMSA,knn,15,ari
D2,starmap,NicheCompass_batch,knn,15,ari
D2,starmap,STAligner,knn,20,ari
D2,starmap,SPIRAL,knn,20,ari
D2,starmap,SPACEL,knn,5,moran_I
D2,starmap,SANTO,knn,15,moran_I
D2,starmap,scSLAT,knn,30,clc
