dataset,platform,tool,parameter,best_value,metric_name
D48,spatialatacrnaseq,COSMOS,knn,12,ari
D48,spatialatacrnaseq,NicheCompass_omics,knn,6,ari
D48,spatialatacrnaseq,spaMGCN,knn,3,ari
D49,misarseq,COSMOS,knn,6,ari
D49,misarseq,NicheCompass_omics,knn,9,ari
D49,misarseq,spaMGCN,knn,12,ari
D50,misarseq,COSMOS,knn,6,ari
D50,misarseq,NicheCompass_omics,knn,9,ari
D50,misarseq,spaMGCN,knn,12,ari
D51,misarseq,COSMOS,knn,6,ari
D51,misarseq,NicheCompass_omics,knn,9,ari
D51,misarseq,spaMGCN,knn,12,ari
D52,misarseq,COSMOS,knn,6,ari
D52,misarseq,NicheCompass_omics,knn,9,ari
D52,misarseq,spaMGCN,knn,12,ari
D53,visiumomics,COSMOS,knn,9,ari
D53,visiumomics,spaMGCN,knn,3,ari
D53,visiumomics,SSGATE,knn,3,ari
D54,visiumomics,COSMOS,knn,9,ari
D54,visiumomics,spaMGCN,knn,3,ari
D54,visiumomics,SSGATE,knn,3,ari
D55,visiumomics,COSMOS,knn,9,ari
D55,visiumomics,spaMGCN,knn,3,ari
D55,visiumomics,SSGATE,knn,3,ari
D56,visiumomics,COSMOS,knn,9,ari
D56,visiumomics,spaMGCN,knn,3,ari
D56,visiumomics,SSGATE,knn,3,ari
D57,visiumomics,COSMOS,knn,9,ari
D57,visiumomics,spaMGCN,knn,3,ari
D57,visiumomics,SSGATE,knn,3,ari
D58,visiumomics,COSMOS,knn,9,ari
D58,visiumomics,spaMGCN,knn,3,ari
D58,visiumomics,SSGATE,knn,3,ari
