,from,to,database,source
0,2300002M23Rik,Ddr1,omnipath,omnipath
1,2610528A11Rik,Gpr15,omnipath,omnipath
2,9530003J23Rik,Itgal,omnipath,omnipath
3,a,Atrn,omnipath,omnipath
4,a,F11r,omnipath,omnipath
5,a,Mc1r,omnipath,omnipath
6,a,Mc2r,omnipath,omnipath
7,a,Mc3r,omnipath,omnipath
8,a,Mc4r,omnipath,omnipath
9,a,Mc5r,omnipath,omnipath
10,a,Mgrn1,nichenet_verschueren,nichenet_verschueren
11,A2m,Klk1b22,omnipath,omnipath
12,A2m,Klk1b9,omnipath,omnipath
13,A2m,Klk1,omnipath,omnipath
14,A2m,Klk1b11,omnipath,omnipath
15,A2m,Klk1b16,omnipath,omnipath
16,A2m,Klk1b21,omnipath,omnipath
17,A2m,Klk1b24,omnipath,omnipath
18,A2m,Klk1b26,omnipath,omnipath
19,A2m,Klk1b27,omnipath,omnipath
20,A2m,Klk1b5,omnipath,omnipath
21,A2m,Klk1b1,omnipath,omnipath
22,A2m,Klk1b8,omnipath,omnipath
23,A2m,Klk1b4,omnipath,omnipath
24,A2m,Klk1b3,omnipath,omnipath
25,A2m,Lrp1,omnipath,omnipath
26,A2m,Mmp2,omnipath,omnipath
27,A2m,Mmp9,omnipath,omnipath
28,Aanat,Mtnr1a,nichenet_verschueren,nichenet_verschueren
29,Aanat,Mtnr1b,nichenet_verschueren,nichenet_verschueren
30,Abca1,Apoa1,omnipath,omnipath
31,Abca1,Megf10,omnipath,omnipath
32,Ace,Agtr2,omnipath,omnipath
33,Ace,Bdkrb2,omnipath,omnipath
34,Ace2,Slc6a19,omnipath,omnipath
35,Ace2,Tigit,omnipath,omnipath
36,Ace2,Tnfrsf11a,nichenet_verschueren,nichenet_verschueren
37,Ace2,Tnfrsf11b,nichenet_verschueren,nichenet_verschueren
38,Acp4,Erbb4,omnipath,omnipath
39,Acp4,Vstm2b,omnipath,omnipath
40,Adam10,App,omnipath,omnipath
41,Adam10,Axl,omnipath,omnipath
42,Adam10,Cd44,omnipath,omnipath
43,Adam10,Epha3,omnipath,omnipath
44,Adam10,Notch1,omnipath,omnipath
45,Adam10,Notch2,omnipath,omnipath
46,Adam10,Notch3,omnipath,omnipath
47,Adam10,Notch4,omnipath,omnipath
48,Adam10,Tspan10,omnipath,omnipath
49,Adam10,Tspan14,omnipath,omnipath
50,Adam10,Tspan15,omnipath,omnipath
51,Adam10,Tspan17,omnipath,omnipath
52,Adam10,Tspan33,omnipath,omnipath
53,Adam10,Tspan5,omnipath,omnipath
54,Adam11,Ccr4,omnipath,omnipath
55,Adam11,Itga4,omnipath,omnipath
56,Adam12,Itga9,omnipath,omnipath
57,Adam12,Itgb1,omnipath,omnipath
58,Adam12,Sdc4,omnipath,omnipath
59,Adam15,Itga5,nichenet_verschueren,nichenet_verschueren
60,Adam15,Itga9,nichenet_verschueren,nichenet_verschueren
61,Adam15,Itgb1,nichenet_verschueren,nichenet_verschueren
62,Adam15,Itgb3,nichenet_verschueren,nichenet_verschueren
63,Adam17,Erbb4,omnipath,omnipath
64,Adam17,Il6ra,omnipath,omnipath
65,Adam17,Itga5,omnipath,omnipath
66,Adam17,Itgb1,omnipath,omnipath
67,Adam17,Muc1,omnipath,omnipath
68,Adam17,Notch1,omnipath,omnipath
69,Adam17,Notch2,omnipath,omnipath
70,Adam17,Notch3,omnipath,omnipath
71,Adam17,Notch4,omnipath,omnipath
72,Adam2,Cd9,omnipath,omnipath
73,Adam2,Itga6,omnipath,omnipath
74,Adam2,Itga9,omnipath,omnipath
75,Adam2,Itgb1,omnipath,omnipath
76,Adam2,Itgb7,omnipath,omnipath
77,Adam20,Il1rapl1,omnipath,omnipath
78,Adam20,Il1rapl2,omnipath,omnipath
79,Adam21,Clec12b,omnipath,omnipath
80,Adam21,Flt4,nichenet_verschueren,nichenet_verschueren
81,Adam21,Igsf21,omnipath,omnipath
82,Adam23,Itga5,nichenet_verschueren,nichenet_verschueren
83,Adam23,Itgb3,nichenet_verschueren,nichenet_verschueren
84,Adam25,Il1rapl1,omnipath,omnipath
85,Adam25,Il1rapl2,omnipath,omnipath
86,Adam28,Itga4,omnipath,omnipath
87,Adam29,Itga4,omnipath,omnipath
88,Adam39,Il1rapl1,omnipath,omnipath
89,Adam39,Il1rapl2,omnipath,omnipath
90,Adam7,Itga4,omnipath,omnipath
91,Adam7,Itgb7,omnipath,omnipath
92,Adam9,Itga6,nichenet_verschueren,nichenet_verschueren
93,Adam9,Itgav,nichenet_verschueren,nichenet_verschueren
94,Adam9,Itgb1,nichenet_verschueren,nichenet_verschueren
95,Adam9,Itgb5,nichenet_verschueren,nichenet_verschueren
96,Adamts3,Ccbe1,omnipath,omnipath
97,Adcyap1,Adcyap1r1,omnipath,omnipath
98,Adcyap1,Sctr,omnipath,omnipath
99,Adcyap1,Vipr1,omnipath,omnipath
100,Adcyap1,Vipr2,omnipath,omnipath
101,Adgrb1,Rtn4r,omnipath,omnipath
102,Adgre5,Cd55,omnipath,omnipath
103,Adgre5,Cd55b,omnipath,omnipath
104,Adgrf5,Treml2,nichenet_verschueren,nichenet_verschueren
105,Adipoq,Adipor1,omnipath,omnipath
106,Adipoq,Adipor2,omnipath,omnipath
107,Adipoq,Cnr2,omnipath,omnipath
108,Adipoq,Ffar3,omnipath,omnipath
109,Adm,Calcr,omnipath,omnipath
110,Adm,Calcrl,omnipath,omnipath
111,Adm,Gpr182,omnipath,omnipath
112,Adm,Mrgprx2,omnipath,omnipath
113,Adm,Mrgpra1,nichenet_verschueren,nichenet_verschueren
114,Adm,Mrgpra2b,nichenet_verschueren,nichenet_verschueren
115,Adm,Mrgpra9,nichenet_verschueren,nichenet_verschueren
116,Adm,Mrgpra2a,nichenet_verschueren,nichenet_verschueren
117,Adm,Mrgprx1,nichenet_verschueren,nichenet_verschueren
118,Adm,Mrgprb4,nichenet_verschueren,nichenet_verschueren
119,Adm,Mrgprb5,nichenet_verschueren,nichenet_verschueren
120,Adm,Mrgprb2,nichenet_verschueren,nichenet_verschueren
121,Adm,Mrgpra4,nichenet_verschueren,nichenet_verschueren
122,Adm,Mrgpra6,nichenet_verschueren,nichenet_verschueren
123,Adm,Mrgprx2,nichenet_verschueren,nichenet_verschueren
124,Adm,Mrgprb8,nichenet_verschueren,nichenet_verschueren
125,Adm,Mrgpra3,nichenet_verschueren,nichenet_verschueren
126,Adm,Mrgprb3,nichenet_verschueren,nichenet_verschueren
127,Adm,Mrgprb1,nichenet_verschueren,nichenet_verschueren
128,Adm,Ramp1,omnipath,omnipath
129,Adm,Ramp2,omnipath,omnipath
130,Adm,Ramp3,omnipath,omnipath
131,Adm2,Adcyap1r1,omnipath,omnipath
132,Adm2,Adrb2,omnipath,omnipath
133,Adm2,Adrb3,omnipath,omnipath
134,Adm2,Calcr,omnipath,omnipath
135,Adm2,Calcrl,omnipath,omnipath
136,Adm2,Gpr20,omnipath,omnipath
137,Adm2,Gpr84,omnipath,omnipath
138,Adm2,Pth1r,omnipath,omnipath
139,Adm2,Ramp1,omnipath,omnipath
140,Adm2,Ramp2,omnipath,omnipath
141,Adm2,Ramp3,omnipath,omnipath
142,Adm2,Tshr,omnipath,omnipath
143,Adm2,Vipr1,omnipath,omnipath
144,Agrn,Atp1a3,omnipath,omnipath
145,Agrn,Chrnb3,omnipath,omnipath
146,Agrn,Dag1,omnipath,omnipath
147,Agrn,Itgb1,omnipath,omnipath
148,Agrn,Lrp1,omnipath,omnipath
149,Agrn,Lrp2,omnipath,omnipath
150,Agrn,Lrp4,omnipath,omnipath
151,Agrn,Musk,omnipath,omnipath
152,Agrp,Mc3r,omnipath,omnipath
153,Agrp,Mc4r,omnipath,omnipath
154,Agrp,Mc5r,omnipath,omnipath
155,Agrp,Sdc3,omnipath,omnipath
156,Agt,Agtr1a,omnipath,omnipath
157,Agt,Agtr1b,omnipath,omnipath
158,Agt,Agtr2,omnipath,omnipath
159,Agt,Lrp2,omnipath,omnipath
160,Agt,Mas1,omnipath,omnipath
161,Agt,Ren1,omnipath,omnipath
162,Ahsg,Insr,omnipath,omnipath
163,Aimp1,Ntrk1,omnipath,omnipath
164,Alb,Lrp2,omnipath,omnipath
165,Alcam,Alcam,nichenet_verschueren,nichenet_verschueren
166,Alcam,Cd6,omnipath,omnipath
167,Alcam,Chl1,omnipath,omnipath
168,Alcam,Nrp1,omnipath,omnipath
169,Alkal1,Alk,omnipath,omnipath
170,Alkal1,Ltk,omnipath,omnipath
171,Alkal2,Alk,omnipath,omnipath
172,Alkal2,Ltk,omnipath,omnipath
173,Alox5ap,Alox5,nichenet_verschueren,nichenet_verschueren
174,Ambn,Cd63,omnipath,omnipath
175,Amelx,Cd63,omnipath,omnipath
176,Amelx,Lamp1,omnipath,omnipath
177,Amelx,Lamp2,omnipath,omnipath
178,Amh,Acvr1,omnipath,omnipath
179,Amh,Amhr2,omnipath,omnipath
180,Amh,Bmpr1a,omnipath,omnipath
181,Amh,Bmpr1b,omnipath,omnipath
182,Amh,Egfr,omnipath,omnipath
183,Amh,Grem2,omnipath,omnipath
184,Ang,Egfr,omnipath,omnipath
185,Ang,Plxnb2,omnipath,omnipath
186,Ang2,Egfr,omnipath,omnipath
187,Ang2,Plxnb2,omnipath,omnipath
188,Ang4,Egfr,omnipath,omnipath
189,Ang4,Plxnb2,omnipath,omnipath
190,Ang5,Egfr,omnipath,omnipath
191,Ang5,Plxnb2,omnipath,omnipath
192,Ang6,Egfr,omnipath,omnipath
193,Ang6,Plxnb2,omnipath,omnipath
194,Angpt1,Itga5,omnipath,omnipath
195,Angpt1,Itgb1,omnipath,omnipath
196,Angpt1,Tek,omnipath,omnipath
197,Angpt1,Tie1,omnipath,omnipath
198,Angpt2,Itga5,omnipath,omnipath
199,Angpt2,Itgb1,omnipath,omnipath
200,Angpt2,Tek,omnipath,omnipath
201,Angpt2,Tie1,omnipath,omnipath
202,Angpt4,Tek,omnipath,omnipath
203,Angpt4,Tie1,omnipath,omnipath
204,Angptl1,Itga1,omnipath,omnipath
205,Angptl1,Itgb1,omnipath,omnipath
206,Angptl1,Pira1,omnipath,omnipath
207,Angptl1,Pira2,omnipath,omnipath
208,Angptl1,Lilra6,omnipath,omnipath
209,Angptl1,Pira6,omnipath,omnipath
